Vehicle0;20;100;0;120;100;102;B19;PU
Vehicle1;30;100;0;130;100;102;B29;PU
Vehicle2;40;100;0;150;100;112;B49;PU
Vehicle0;120;100;102;0;100;224;B19;PL
Vehicle1;130;100;102;0;100;234;B29;PL
Vehicle2;150;100;112;10;100;254;B49;PL
Vehicle0;0;100;224;130;100;356;B28;PU
Vehicle2;10;100;254;210;100;456;B109;PU
Vehicle1;0;100;234;240;100;476;B139;PU
Vehicle0;130;100;356;0;100;488;B28;PL
Vehicle2;210;100;456;10;100;658;B109;PL
Vehicle1;240;100;476;0;100;718;B139;PL
Vehicle0;0;100;488;250;100;740;B149;PU
Vehicle2;10;100;658;260;100;910;B159;PU
Vehicle0;250;100;740;0;100;992;B149;PL
Vehicle1;0;100;718;350;100;1070;B249;PU
Vehicle2;260;100;910;10;100;1162;B159;PL
Vehicle0;0;100;992;370;100;1364;B269;PU
Vehicle1;350;100;1070;0;100;1422;B249;PL
Vehicle2;10;100;1162;290;100;1444;B189;PU
Vehicle2;290;100;1444;10;100;1726;B189;PL
Vehicle0;370;100;1364;0;100;1736;B269;PL
Vehicle1;0;100;1422;400;100;1824;B299;PU
Vehicle2;10;100;1726;300;100;2018;B199;PU
Vehicle0;0;100;1736;420;100;2158;B319;PU
Vehicle1;400;100;1824;0;100;2226;B299;PL
Vehicle2;300;100;2018;10;100;2310;B199;PL
Vehicle0;420;100;2158;0;100;2580;B319;PL
Vehicle2;10;100;2310;310;100;2612;B209;PU
Vehicle1;0;100;2226;440;100;2668;B339;PU
Vehicle2;310;100;2612;10;100;2914;B209;PL
Vehicle0;0;100;2580;480;100;3062;B379;PU
Vehicle1;440;100;2668;0;100;3110;B339;PL
Vehicle2;10;100;2914;360;100;3266;B259;PU
Vehicle0;480;100;3062;0;100;3544;B379;PL
Vehicle1;0;100;3110;500;100;3612;B399;PU
Vehicle2;360;100;3266;10;100;3618;B259;PL
Vehicle2;10;100;3618;460;100;4070;B359;PU
Vehicle1;500;100;3612;0;100;4114;B399;PL
Vehicle0;0;100;3544;660;100;4206;B559;PU
Vehicle2;460;100;4070;10;100;4522;B359;PL
Vehicle1;0;100;4114;680;100;4796;B579;PU
Vehicle0;660;100;4206;0;100;4868;B559;PL
Vehicle2;10;100;4522;520;100;5034;B419;PU
Vehicle1;680;100;4796;0;100;5478;B579;PL
Vehicle2;520;100;5034;10;100;5546;B419;PL
Vehicle0;0;100;4868;740;100;5610;B639;PU
Vehicle2;10;100;5546;570;100;6108;B469;PU
Vehicle1;0;100;5478;790;100;6270;B689;PU
Vehicle0;740;100;5610;0;100;6352;B639;PL
