Vehicle1;250;100;12230;10;100;12475;B58;PL
Vehicle0;250;100;12445;290;100;12490;B75;PU
Vehicle0;290;100;12490;280;100;12505;B75;PL
Vehicle1;10;100;12475;260;100;12730;B59;PL
Vehicle1;260;100;12730;290;100;12765;B74;PU
Vehicle1;290;100;12765;290;100;12770;B73;PU
Vehicle0;280;100;12505;0;100;12790;B57;PL
Vehicle1;290;100;12770;0;100;13065;B73;PL
Vehicle0;0;100;12790;310;100;13105;B83;PU
Vehicle0;310;100;13105;310;100;13110;B82;PU
Vehicle1;0;100;13065;280;100;13350;B74;PL
Vehicle1;280;100;13350;310;100;13385;B81;PU
Vehicle1;310;100;13385;310;100;13390;B80;PU
Vehicle0;310;100;13110;10;100;13415;B82;PL
Vehicle1;310;100;13390;10;100;13695;B80;PL
Vehicle0;10;100;13415;300;100;13710;B83;PL
Vehicle0;300;100;13710;320;100;13735;B86;PU
Vehicle0;320;100;13735;320;100;13740;B85;PU
Vehicle0;320;100;13740;300;100;13765;B85;PL
Vehicle0;300;100;13765;300;100;13770;B86;PL
Vehicle0;300;100;13770;320;100;13795;B84;PU
Vehicle0;320;100;13795;330;100;13810;B90;PU
Vehicle0;330;100;13810;340;100;13825;B90;PL
Vehicle1;10;100;13695;300;100;13990;B81;PL
Vehicle1;300;100;13990;330;100;14025;B89;PU
Vehicle1;330;100;14025;330;100;14030;B88;PU
Vehicle0;340;100;13825;0;100;14170;B84;PL
Vehicle1;330;100;14030;10;100;14355;B88;PL
Vehicle0;0;100;14170;360;100;14535;B103;PU
Vehicle0;360;100;14535;360;100;14540;B102;PU
Vehicle0;360;100;14540;350;100;14555;B102;PL
Vehicle0;350;100;14555;350;100;14560;B103;PL
Vehicle0;350;100;14560;360;100;14575;B101;PU
Vehicle0;360;100;14575;360;100;14580;B100;PU
Vehicle1;10;100;14355;340;100;14690;B89;PL
Vehicle1;340;100;14690;370;100;14725;B107;PU
Vehicle1;370;100;14725;370;100;14730;B106;PU
Vehicle0;360;100;14580;0;100;14945;B100;PL
Vehicle1;370;100;14730;0;100;15105;B106;PL
Vehicle0;0;100;14945;350;100;15300;B101;PL
Vehicle0;350;100;15300;380;100;15335;B111;PU
Vehicle0;380;100;15335;380;100;15340;B110;PU
Vehicle0;380;100;15340;390;100;15355;B110;PL
Vehicle0;390;100;15355;390;100;15360;B111;PL
Vehicle0;390;100;15360;380;100;15375;B109;PU
Vehicle0;380;100;15375;380;100;15380;B108;PU
Vehicle1;0;100;15105;350;100;15460;B107;PL
Vehicle1;350;100;15460;420;100;15535;B127;PU
Vehicle1;420;100;15535;420;100;15540;B126;PU
Vehicle1;420;100;15540;410;100;15555;B126;PL
Vehicle1;410;100;15555;410;100;15560;B127;PL
Vehicle1;410;100;15560;420;100;15575;B125;PU
Vehicle1;420;100;15575;420;100;15580;B124;PU
Vehicle0;380;100;15380;10;100;15755;B108;PL
Vehicle1;420;100;15580;10;100;15995;B124;PL
Vehicle0;10;100;15755;390;100;16140;B109;PL
Vehicle0;390;100;16140;480;100;16235;B151;PU
Vehicle0;480;100;16235;480;100;16240;B150;PU
Vehicle0;480;100;16240;470;100;16255;B150;PL
Vehicle0;470;100;16255;470;100;16260;B151;PL
Vehicle0;470;100;16260;480;100;16275;B149;PU
Vehicle0;480;100;16275;480;100;16280;B148;PU
Vehicle1;10;100;15995;410;100;16400;B125;PL
Vehicle1;410;100;16400;520;100;16515;B167;PU
Vehicle1;520;100;16515;520;100;16520;B166;PU
